time(s),intensity,nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),Pitch
0.025033,0.018,4,342.862,29.570,2035.224,191.809,2406.376,716.830,4035.533,135.103,171.6592711789982
0.031283,0.018,4,359.339,48.363,2116.066,236.471,2456.850,516.420,4172.012,282.179,182.13731556265967
0.037533,0.018,4,388.369,39.860,2063.124,361.169,2641.623,313.513,4286.941,329.746,192.4584351947678
0.043783,0.018,4,384.211,39.029,1999.397,337.071,2700.935,222.775,4470.194,424.114,192.4584351947678
0.050033,0.018,4,377.738,46.068,2102.254,445.725,2705.674,460.942,4539.085,426.266,192.78897623457428
0.056283,0.018,4,373.638,49.762,2167.700,430.901,2760.578,693.648,4536.689,608.644,195.30558052720093
0.062533,0.018,3,377.144,85.844,2254.045,263.381,3687.825,618.186,--undefined--,--undefined--,195.30558052720093
0.068783,0.018,3,388.747,156.187,2261.344,314.784,3742.920,596.626,--undefined--,--undefined--,197.3278364964396
0.075033,0.013,4,383.359,149.081,2198.125,430.695,2950.458,1293.178,4223.335,925.668,197.3278364964396
0.081283,0.013,4,378.583,127.782,2039.969,253.356,3285.733,877.299,4370.154,1391.861,198.86281761029383
0.087533,0.013,4,376.813,98.947,1990.441,276.529,3127.669,822.300,4195.307,955.451,199.68161092569738
0.093783,0.013,4,368.495,103.074,1926.664,339.924,3113.116,785.644,4064.804,913.222,199.68161092569738
0.100033,0.013,4,358.177,196.348,1851.596,292.521,3335.371,442.869,4509.311,1928.861,200.06390202877353
0.106283,0.013,4,347.592,208.097,1815.911,212.719,3086.213,588.785,4384.278,926.600,201.46645831466213
0.112533,0.009,4,325.198,280.604,1894.962,259.065,3162.228,561.129,4584.426,1201.144,201.46645831466213
0.118783,0.009,3,297.788,429.270,2018.554,369.491,3256.390,343.721,--undefined--,--undefined--,201.276962424114
0.125033,0.017,3,1550.827,521.163,2464.277,1384.422,3366.980,687.205,--undefined--,--undefined--,201.276962424114
0.131283,0.017,3,1502.063,343.344,2736.768,673.363,3388.409,1112.161,--undefined--,--undefined--,201.3570334356018
