time(s),intensity,nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),Pitch
0.025058,0.0002,4,782.310,812.246,1904.232,826.147,3017.544,508.457,3852.577,738.116,--undefined--
0.031308,0.0002,4,704.063,731.666,2214.331,1074.622,2998.845,1464.978,3749.300,1106.662,--undefined--
0.037558,0.0002,4,703.608,716.625,1880.943,923.291,3028.991,688.397,4088.235,700.567,--undefined--
0.043808,0.0001,3,1256.438,573.087,2666.539,495.376,3866.100,813.705,--undefined--,--undefined--,--undefined--
0.050058,0.0001,3,1437.728,745.834,2652.522,604.979,3689.920,1237.582,--undefined--,--undefined--,--undefined--
0.056308,0.0007,4,446.498,899.554,1886.903,932.903,2779.551,911.526,3975.140,1014.274,--undefined--
0.062558,0.0007,3,934.269,1397.999,2157.477,935.388,3435.757,1588.058,--undefined--,--undefined--,--undefined--
0.068808,0.0007,3,1470.064,768.080,2360.064,977.081,3609.878,1895.543,--undefined--,--undefined--,--undefined--
0.075058,0.0007,3,1471.416,1001.115,2249.554,1768.830,3775.621,770.259,--undefined--,--undefined--,--undefined--
0.081308,0.0007,4,796.944,781.137,1726.986,841.190,3466.987,665.094,4241.541,898.562,--undefined--
0.087558,0.0007,4,852.300,894.834,1717.771,1129.769,3107.050,839.473,4159.382,1118.284,--undefined--
0.093808,0.0007,3,861.841,896.870,2330.802,3627.264,2698.935,464.222,--undefined--,--undefined--,--undefined--
0.100058,0.0007,2,1376.782,801.014,2690.210,336.912,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
0.106308,0.0002,3,1288.718,897.878,2501.852,817.915,3266.857,1619.313,--undefined--,--undefined--,--undefined--
0.112558,0.0002,3,1178.367,702.789,2399.272,725.434,3302.167,874.594,--undefined--,--undefined--,--undefined--
0.118808,0.0002,4,777.233,609.127,2003.618,689.668,2899.826,740.391,4216.858,1403.846,--undefined--
0.125058,0.0001,4,739.861,983.354,1788.167,699.510,2751.170,527.900,4017.270,754.395,--undefined--
0.131308,0.0001,4,700.407,1103.810,1758.225,779.875,2910.635,611.919,4024.231,1179.120,--undefined--
0.137558,0.0001,4,818.475,1419.427,1603.208,1330.343,2709.272,900.813,3935.035,890.525,--undefined--
0.143808,0.0002,3,1267.021,808.171,2602.930,793.150,3816.272,1329.716,--undefined--,--undefined--,--undefined--
0.150058,0.0002,4,1093.390,791.174,2126.534,1107.996,2991.284,980.443,4397.327,2231.894,--undefined--
0.156308,0.0002,4,755.767,1025.045,1993.014,708.913,3032.544,882.715,4375.847,1848.907,--undefined--
0.162558,0.0002,3,1116.775,950.533,2455.882,561.956,3289.042,608.471,--undefined--,--undefined--,--undefined--
0.168808,0.0002,3,751.422,537.162,2211.649,554.496,3119.711,633.500,--undefined--,--undefined--,--undefined--
0.175058,0.0002,3,724.224,842.016,2084.153,715.291,2955.244,809.299,--undefined--,--undefined--,--undefined--
0.181308,0.0002,3,1141.615,570.043,2488.725,665.471,3404.499,1036.261,--undefined--,--undefined--,--undefined--
0.187558,0.0002,4,937.916,811.469,1869.373,890.572,2745.002,828.031,3933.720,605.803,--undefined--
0.193808,0.0002,4,820.802,1202.082,1720.988,658.934,2716.710,707.800,4026.793,712.984,--undefined--
0.200058,0.0002,4,885.871,1442.863,1609.688,598.001,2657.923,519.933,4064.139,693.804,--undefined--
0.206308,0.0002,4,1123.572,1518.394,1530.600,627.072,2772.943,492.874,4020.803,1016.110,--undefined--
0.212558,0.0002,3,1545.625,486.707,2631.581,527.422,3726.799,1262.449,--undefined--,--undefined--,--undefined--
0.218808,0.0002,3,1551.341,1071.830,2231.983,711.721,3370.569,857.259,--undefined--,--undefined--,--undefined--
0.225058,0.0002,3,1304.017,1651.819,2150.312,634.575,3358.162,528.283,--undefined--,--undefined--,--undefined--
0.231308,0.0002,4,480.342,980.827,1798.090,744.668,3013.151,674.257,3811.994,929.112,--undefined--
0.237558,0.0002,4,637.505,999.975,1778.484,640.009,2983.468,923.513,3839.200,936.233,--undefined--
0.243808,0.0002,4,909.621,698.816,1916.015,552.788,3171.826,735.026,3937.403,2007.923,--undefined--
0.250058,0.0002,3,1074.706,883.174,2015.602,1045.670,3201.740,608.100,--undefined--,--undefined--,--undefined--
